date,value
2016-05-07,8111
2016-05-08,6310
2016-05-09,10776
2016-05-10,5407
2016-05-11,4639
2016-05-12,10583
2016-05-13,6291
2016-05-14,2392
2016-05-15,2691
2016-05-16,4134
2016-05-17,8155
2016-05-18,4965
2016-05-19,3749
2016-05-20,4512
2016-05-21,7485
2016-05-22,3671
2016-05-23,1948
2016-05-24,8217
2016-05-25,5033
2016-05-26,4496
2016-05-27,5474
2016-05-28,4338
2016-05-29,6719
2016-05-30,4600
2016-05-31,5822
2016-06-01,5368
2016-06-02,8071
2016-06-03,7263
2016-06-04,3159
2016-06-05,4991
2016-06-06,4151
